disco,date,band,collection_naira
IBEDC,01/10/2021,band_d,912286018.7
IBEDC,01/10/2021,band_e,720348455.9
IBEDC,01/11/2021,lifeline,9931705.326
IBEDC,01/11/2021,band_a,4313529201
IBEDC,01/11/2021,band_b,1662945210
IBEDC,01/11/2021,band_c,1057413678
IBEDC,01/11/2021,band_d,1051582969
IBEDC,01/11/2021,band_e,758363966.9
IBEDC,01/12/2021,lifeline,9110922.632
IBEDC,01/12/2021,band_a,3885047516
IBEDC,01/12/2021,band_b,1588640994
IBEDC,01/12/2021,band_c,1023669519
IBEDC,01/12/2021,band_d,892423722.4
IBEDC,01/12/2021,band_e,646112305.9
IBEDC,01/01/2022,lifeline,10106082.16
IBEDC,01/01/2022,band_a,3744755588
IBEDC,01/01/2022,band_b,1381653012
IBEDC,01/01/2022,band_c,896678794.3
IBEDC,01/01/2022,band_d,762824372.4
IBEDC,01/01/2022,band_e,558619678.6
IBEDC,01/02/2022,lifeline,10247511.95
IBEDC,01/02/2022,band_a,3978966487
IBEDC,01/02/2022,band_b,1299405544
