disco,date,band,billing_naira
EEDC,01/09/2021,lifeline,153095.5477
EEDC,01/09/2021,band_a,1770118599
EEDC,01/09/2021,band_b,1708569900
EEDC,01/09/2021,band_c,3372041074
EEDC,01/09/2021,band_d,1274523113
EEDC,01/09/2021,band_e,387151216.2
EEDC,01/10/2021,lifeline,143449.2687
EEDC,01/10/2021,band_a,1709410500
EEDC,01/10/2021,band_b,1858811470
EEDC,01/10/2021,band_c,3493311367
EEDC,01/10/2021,band_d,1254585271
EEDC,01/10/2021,band_e,366635406.1
EEDC,01/11/2021,lifeline,125875.97
EEDC,01/11/2021,band_a,1885727492
EEDC,01/11/2021,band_b,1895429296
EEDC,01/11/2021,band_c,3555077388
EEDC,01/11/2021,band_d,1192257785
EEDC,01/11/2021,band_e,368524507.3
EEDC,01/12/2021,lifeline,131531.5713
EEDC,01/12/2021,band_a,1855879149
EEDC,01/12/2021,band_b,1940229451
EEDC,01/12/2021,band_c,4006150600
EEDC,01/12/2021,band_d,1410592268
EEDC,01/12/2021,band_e,530566329
EEDC,01/01/2022,lifeline,151140.7274
EEDC,01/01/2022,band_a,1780733067
EEDC,01/01/2022,band_b,1912413857
EEDC,01/01/2022,band_c,3944632984
EEDC,01/01/2022,band_d,1459737038
EEDC,01/01/2022,band_e,563481761.6
EEDC,01/02/2022,lifeline,106017.7663
EEDC,01/02/2022,band_a,1970749203
EEDC,01/02/2022,band_b,1778318799
EEDC,01/02/2022,band_c,3470036091
EEDC,01/02/2022,band_d,1230258251
EEDC,01/02/2022,band_e,475590918.6
EEDC,01/03/2022,lifeline,137796.07
EEDC,01/03/2022,band_a,2029438419
EEDC,01/03/2022,band_b,1769796610
EEDC,01/03/2022,band_c,3429233666
EEDC,01/03/2022,band_d,1219397521
EEDC,01/03/2022,band_e,418032192.7
EEDC,01/04/2022,lifeline,232492.1384
EEDC,01/04/2022,band_a,1930628299
EEDC,01/04/2022,band_b,1690560290
EEDC,01/04/2022,band_c,3147853980
EEDC,01/04/2022,band_d,1046002031
EEDC,01/04/2022,band_e,333676415.1
EEDC,01/05/2022,lifeline,26089.75019
EEDC,01/05/2022,band_a,1829618781
EEDC,01/05/2022,band_b,1577363106
EEDC,01/05/2022,band_c,2940591781
EEDC,01/05/2022,band_d,1058107201
EEDC,01/05/2022,band_e,342252242.7
EEDC,01/06/2022,lifeline,87408
EEDC,01/06/2022,band_a,1878844428
EEDC,01/06/2022,band_b,1594769194
EEDC,01/06/2022,band_c,2881599300
EEDC,01/06/2022,band_d,927542663
EEDC,01/06/2022,band_e,362829847
EEDC,01/07/2022,lifeline,38466
EEDC,01/07/2022,band_a,2034851522
EEDC,01/07/2022,band_b,1807231843
EEDC,01/07/2022,band_c,3472118364
EEDC,01/07/2022,band_d,1110485474
EEDC,01/07/2022,band_e,432422331
EEDC,01/08/2022,lifeline,85761
EEDC,01/08/2022,band_a,1934402751
EEDC,01/08/2022,band_b,1801650576
EEDC,01/08/2022,band_c,2771726681
EEDC,01/08/2022,band_d,1045827330
EEDC,01/08/2022,band_e,364967497
EEDC,01/09/2022,lifeline,23455.35
EEDC,01/09/2022,band_a,3011780190
EEDC,01/09/2022,band_b,2021110232
EEDC,01/09/2022,band_c,1900846878
EEDC,01/09/2022,band_d,609255697.7
EEDC,01/09/2022,band_e,220257658.7
IBEDC,01/11/2020,lifeline,42045497.57
IBEDC,01/11/2020,band_a,4028435865
IBEDC,01/11/2020,band_b,2270599176
IBEDC,01/11/2020,band_c,2220225584
IBEDC,01/11/2020,band_d,1994002645
